Date,Lat,Long,Mag
3/27/1967,38.474,116.608,6.1
3/27/1967,-16.438,168.214,6.4
3/30/1967,-11.114,115.227,6.2
1/2/1968,-5.175,153.421,5.9
1/4/1968,52.226,-171.468,6.1
1/4/1968,-9.779,148.835,5.8
1/6/1968,-27.845,-70.873,6.4
1/7/1968,-5.042,153.961,5.7
1/7/1968,33.623,141.938,6
1/13/1968,23.965,122.161,6.1
1/13/1968,-24.28,-67.006,5.7
1/14/1968,-7.552,127.871,6
1/14/1968,52.619,-171.445,5.6
1/14/1968,52.53,-171.418,6.2
1/15/1968,37.702,13.033,6.4
1/19/1968,-9.213,158.542,6.7
1/19/1968,-42.559,-75.278,5.7
1/20/1968,-16.097,178.131,5.7
1/20/1968,-30.116,-179.547,6.1
1/21/1968,-1.352,-14.249,6.5
1/26/1968,-8.875,120.265,6.8
1/29/1968,36.448,70.451,5.6
1/29/1968,43.566,146.741,7.4
1/29/1968,43.343,147.259,6.1
1/30/1968,43.246,147.701,5.9
1/30/1968,-6.066,113.373,6.3
2/1/1968,43.203,146.986,5.6
2/3/1968,46.606,152.761,5.7
2/3/1968,16.578,-99.533,5.8
2/4/1968,43.05,147.283,6.6
2/6/1968,-0.135,124.145,5.6
2/6/1968,-28.59,-70.999,5.6
2/10/1968,46.026,152.189,5.6
2/12/1968,-5.42,153.368,7.3
2/13/1968,-5.48,131.26,5.7
2/19/1968,-5.469,153.269,5.7
2/19/1968,39.368,24.957,7.2
2/20/1968,12.343,-47.01,5.8
2/21/1968,32.066,130.712,6.2
2/21/1968,-4.04,128.531,5.6
2/24/1968,-32.637,-177.479,5.7
2/25/1968,37.586,141.65,5.6
2/26/1968,22.733,121.368,7.1
2/27/1968,12.194,140.638,5.8
2/27/1968,12.117,140.757,5.9
2/28/1968,32.928,137.82,6.3
3/2/1968,-6.164,71.374,5.9
3/3/1968,1.584,122.452,5.7
3/5/1968,9.507,126.415,6.3
3/5/1968,9.526,126.196,6.1
3/7/1968,-5.897,151.013,6.3
3/9/1968,-5.603,154.093,5.7
3/10/1968,51.955,-177.212,5.5
3/10/1968,-36.391,179.575,5.8
3/11/1968,-16.212,-173.889,6.4
3/17/1968,3.204,128.182,6.1
3/22/1968,-20.624,-69.119,5.6
3/22/1968,13.255,145.77,5.7
3/26/1968,-6.626,116.161,6.1
3/26/1968,8.103,126.317,5.8
3/27/1968,47.914,154.053,5.6
3/27/1968,-4.178,133.149,5.7
1/1/1969,51.096,-179.392,5.6
1/2/1969,-56.096,-27.842,6
1/3/1969,37.14,57.899,5.5
1/3/1969,51.132,-179.306,5.9
1/4/1969,-6.85,129.821,5.8
1/5/1969,-7.97,158.888,7
1/6/1969,-10.407,164.479,6.9
1/8/1969,11.823,143.419,5.6
1/10/1969,28.92,130.667,5.9
1/13/1969,-7.967,158.999,5.8
